Laptop Name,Current Price,MRP Price,Rating,Dedicated Graphic Memory Type,Processor Brand,Processor Name,SSD,SSD Capacity,RAM,RAM Type,Graphic Processor,Processor Generation,Processor Variant,Clock Speed,Cache,Number of Cores,Expandable Memory,RAM Frequency,Expandable SSD Capacity,Chipset,Memory Slots,RPM,Dedicated Graphic Memory Capacity,HDD Capacity,EMMC Storage Capacity,Cloud Storage
"Lenovo IdeaPad Slim 1 AMD Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 15ALC7 Thin and Light Laptop  (15.6 Inch, Cloud Grey, 1.65 kg, With MS Office)","40,990","58,390",4.2,,AMD,Ryzen 5 Hexa Core,Yes,512 GB,16 GB,DDR4,AMD Radeon AMD,,5500U,"Base Frequency 2.1 GHz, Max Turbo Boost at 4.0 GHz",3 MB,6,NA,3200 MHz,NA,AMD SoC Platform,,3200,,,,
"Lenovo IdeaPad Slim 3 AMD Ryzen 7 Octa Core 5700U - (16 GB/512 GB SSD/Windows 11 Home) 15ALC6 Thin and Light Laptop  (15.6 Inch, Arctic Grey, 1.65 Kg, With MS Office)","48,990","76,390",4.2,,AMD,Ryzen 7 Octa Core,Yes,512 GB,16 GB,DDR4,AMD Radeon AMD,,5700U,1.80 GHz up to 4.30 GHz,,,16,,NA,,,,,,,
"Lenovo LOQ Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 2050) LOQ 15IRH8D1 Gaming Laptop  (15.6 inch, Storm Grey, 2.4 Kg, With MS Office)","59,990","94,790",4.2,GDDR6,Intel,Core i5,Yes,512 GB,16 GB,DDR5,NVIDIA GeForce RTX 2050,12th Gen,12450H,3.3 GHz upto max turbo frequency at 4.4 Ghz,,,,,,,,,4 GB,,,
"Lenovo ThinkBook 15 G5 AMD Ryzen 5 Hexa Core 7530U - (8 GB/512 GB SSD/Windows 11 Home) Think Book 15 G5 ABP 2 Thin and Light Laptop  (15.6 Inch, Mineral Grey, 1.7 kg)","39,990","72,000",NA,,AMD,Ryzen 5 Hexa Core,Yes,512 GB,8 GB,DDR4,AMD Radeon AMD,,7530U,2.0 GHz with Turbo Boost Upto 4.5 GHz,19 MB,6,16 GB,3200 MHz,,AMD SoC (System on Chip) platform,1,,,,,
"HP 255 G9 840T7PA AMD Athlon Dual Core 3050U - (4 GB/256 GB SSD/DOS) 255 G8 Thin and Light Laptop  (15.6 Inch, Jet Black, 2.5 Kg)","19,999","27,057",3.9,,AMD,Athlon Dual Core,Yes,256 GB,4 GB,DDR4,NA,,3050U,"Base Frequency 2.3 GHz, Max Turbo Frequency Upto 3.2GHz",,2,,,,,,,,,,
"Acer TravelMate P2 Intel Core i7 11th Gen 1165G7 - (16 GB/1 TB SSD/Windows 11 Home) TMP214-53 Thin and Light Laptop  (14 inch, Black, 1.6 Kg)","47,990","99,000",3.6,,Intel,Core i7,Yes,1 TB,16 GB,DDR4,Intel Integrated Iris Xe,11th Gen,1165G7,2.8 GHz with Turbo Boost Upto 4.7 GHz,,,,,,,,,,,,
"Lenovo IdeaPad Slim 5 OLED Intel Core Ultra 5 125H - (16 GB/1 TB SSD/Windows 11 Home) 14IMH9 Laptop  (14 Inch, Cloud Grey, 1.46 Kg, With MS Office)","76,990","1,01,090",4.7,,Intel,Core Ultra 5,Yes,1 TB,16 GB,LPDDR5X,Intel Integrated Arc,,125H,Max Turbo up to 4.5Ghz,,,,,,,,,,,,
"MSI Katana 17 Intel Core i7 12th Gen 12650H - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 4070/240 Hz) Katana 17 B12VGK-672IN Gaming Laptop  (17.3 Inch, Black, 2.6 Kg)","1,34,990","1,72,990",4.8,GDDR6,Intel,Core i7,Yes,1 TB,16 GB,DDR5,NVIDIA GeForce RTX 4070,12th Gen,12650H,Max Turbo Frequency up to 4.7GHz,,,64 GB,,4 TB,,,,8 GB,,,
"HP Victus Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) 15-fa0666TX Gaming Laptop  (15.6 Inch, Performance Blue, 2.37 Kg, With MS Office)","66,990","86,343",4.2,GDDR6,Intel,Core i5,Yes,512 GB,16 GB,DDR4,NVIDIA GeForce RTX 3050,12th Gen,12450H,3.3 GHz upto max turbo frequency at 4.4 Ghz,,,,,,,,,4 GB,,,
"Acer Predator Neo (2023) Intel Core i7 13th Gen 13700HX - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 4050) PHN16-71-757P Gaming Laptop  (16 Inch, Obsidian Black, 2.6 Kg)","1,12,990","1,44,999",4.5,GDDR6,Intel,Core i7,Yes,1 TB,16 GB,DDR5,NVIDIA GeForce RTX 4050,13th Gen,13700HX,1.50 GHz up to 5.00 GHz,,,,,,,,,6 GB,,,
